Country,Year,Cancer_Type,Incidence_Rate,Mortality_Rate,Environmental_Factors,Latitude,Longitude,Continent
Afghanistan,2022,Breast,87.6,19.9,52.3,33.93911,67.709953,Asia
Afghanistan,2022,Colorectal,106.6,12.0,82.5,33.93911,67.709953,Asia
Afghanistan,2023,Lung,61.1,58.5,58.4,33.93911,67.709953,Asia
Afghanistan,2023,Breast,147.9,49.7,96.1,33.93911,67.709953,Asia
Afghanistan,2023,Colorectal,133.5,54.4,86.9,33.93911,67.709953,Asia
Afghanistan,2024,Lung,137.5,28.8,100.0,33.93911,67.709953,Asia
Afghanistan,2024,Breast,52.0,39.5,0.1,33.93911,67.709953,Asia
Afghanistan,2024,Colorectal,49.3,30.5,18.1,33.93911,67.709953,Asia
Albania,2010,Lung,69.3,21.9,27.4,41.153332,20.168331,Europe
Albania,2010,Breast,92.3,60.4,33.0,41.153332,20.168331,Europe
Albania,2010,Colorectal,102.3,58.2,45.4,41.153332,20.168331,Europe
Albania,2011,Lung,40.8,44.1,96.4,41.153332,20.168331,Europe
Albania,2011,Breast,58.4,41.2,37.6,41.153332,20.168331,Europe
Albania,2011,Colorectal,45.5,49.8,40.2,41.153332,20.168331,Europe
Albania,2012,Lung,124.8,28.0,32.7,41.153332,20.168331,Europe
Albania,2012,Breast,119.9,41.1,54.2,41.153332,20.168331,Europe
Albania,2012,Colorectal,52.5,43.1,45.3,41.153332,20.168331,Europe
Albania,2013,Lung,115.3,40.1,33.4,41.153332,20.168331,Europe
Albania,2013,Breast,76.3,39.9,65.5,41.153332,20.168331,Europe
Albania,2013,Colorectal,142.0,11.2,27.8,41.153332,20.168331,Europe
Albania,2014,Lung,95.8,16.2,29.2,41.153332,20.168331,Europe
Albania,2014,Breast,136.3,67.0,58.0,41.153332,20.168331,Europe
Albania,2014,Colorectal,51.4,27.8,60.1,41.153332,20.168331,Europe
Albania,2015,Lung,82.7,38.9,43.9,41.153332,20.168331,Europe
Albania,2015,Breast,120.1,10.1,60.2,41.153332,20.168331,Europe
Albania,2015,Colorectal,84.3,52.2,53.2,41.153332,20.168331,Europe
Albania,2016,Lung,113.8,40.4,50.9,41.153332,20.168331,Europe
Albania,2016,Breast,132.8,39.3,39.8,41.153332,20.168331,Europe
Albania,2016,Colorectal,43.8,70.0,17.6,41.153332,20.168331,Europe
Albania,2017,Lung,55.6,34.6,56.2,41.153332,20.168331,Europe
Albania,2017,Breast,60.2,61.2,51.4,41.153332,20.168331,Europe
Albania,2017,Colorectal,41.6,29.6,84.8,41.153332,20.168331,Europe
Albania,2018,Lung,133.1,29.5,49.5,41.153332,20.168331,Europe
Albania,2018,Breast,55.3,57.4,20.8,41.153332,20.168331,Europe
Albania,2018,Colorectal,60.5,54.9,33.7,41.153332,20.168331,Europe
Albania,2019,Lung,31.4,22.0,7.2,41.153332,20.168331,Europe
Albania,2019,Breast,66.1,36.2,50.6,41.153332,20.168331,Europe
Albania,2019,Colorectal,40.2,51.0,56.9,41.153332,20.168331,Europe
Albania,2020,Lung,149.1,53.2,88.1,41.153332,20.168331,Europe
Albania,2020,Breast,62.9,41.7,22.3,41.153332,20.168331,Europe
Albania,2020,Colorectal,131.4,38.6,0.7,41.153332,20.168331,Europe
Albania,2021,Lung,54.4,43.6,26.1,41.153332,20.168331,Europe
Albania,2021,Breast,79.9,13.4,38.6,41.153332,20.168331,Europe
Albania,2021,Colorectal,139.0,14.5,93.5,41.153332,20.168331,Europe
Albania,2022,Lung,32.8,38.8,99.6,41.153332,20.168331,Europe
Albania,2022,Breast,78.9,60.5,64.1,41.153332,20.168331,Europe
Albania,2022,Colorectal,43.2,26.8,28.1,41.153332,20.168331,Europe
Albania,2023,Lung,121.8,61.9,36.7,41.153332,20.168331,Europe
Albania,2023,Breast,114.3,62.5,4.5,41.153332,20.168331,Europe
Albania,2023,Colorectal,89.2,39.5,24.8,41.153332,20.168331,Europe
Albania,2024,Lung,99.0,31.6,76.4,41.153332,20.168331,Europe
Albania,2024,Breast,73.3,10.9,24.9,41.153332,20.168331,Europe
Albania,2024,Colorectal,33.9,63.1,83.0,41.153332,20.168331,Europe
Algeria,2010,Lung,81.4,57.2,43.1,28.033886,1.659626,Africa
Algeria,2010,Breast,84.3,50.8,12.6,28.033886,1.659626,Africa
Algeria,2010,Colorectal,104.3,33.5,63.5,28.033886,1.659626,Africa
Algeria,2011,Lung,98.7,24.3,92.5,28.033886,1.659626,Africa
Algeria,2011,Breast,135.5,41.1,9.7,28.033886,1.659626,Africa
Algeria,2011,Colorectal,30.7,76.0,29.1,28.033886,1.659626,Africa
Algeria,2012,Lung,127.0,68.2,92.2,28.033886,1.659626,Africa
Algeria,2012,Breast,126.0,64.5,49.1,28.033886,1.659626,Africa
Algeria,2012,Colorectal,139.3,34.6,63.0,28.033886,1.659626,Africa
Algeria,2013,Lung,62.9,29.5,48.2,28.033886,1.659626,Africa
Algeria,2013,Breast,55.2,45.8,88.7,28.033886,1.659626,Africa
Algeria,2013,Colorectal,122.7,56.4,19.8,28.033886,1.659626,Africa
Algeria,2014,Lung,53.5,58.0,16.5,28.033886,1.659626,Africa
Algeria,2014,Breast,75.8,23.9,61.1,28.033886,1.659626,Africa
Algeria,2014,Colorectal,58.3,35.2,26.7,28.033886,1.659626,Africa
Algeria,2015,Lung,88.2,19.9,54.9,28.033886,1.659626,Africa
Algeria,2015,Breast,119.8,23.3,33.3,28.033886,1.659626,Africa
Algeria,2015,Colorectal,77.4,26.2,73.0,28.033886,1.659626,Africa
Algeria,2016,Lung,60.0,23.4,64.1,28.033886,1.659626,Africa
Algeria,2016,Breast,31.5,60.9,87.1,28.033886,1.659626,Africa
Algeria,2016,Colorectal,36.9,32.1,20.2,28.033886,1.659626,Africa
Algeria,2017,Lung,146.6,48.3,66.4,28.033886,1.659626,Africa
Algeria,2017,Breast,83.5,77.8,37.2,28.033886,1.659626,Africa
Algeria,2017,Colorectal,126.4,43.1,6.6,28.033886,1.659626,Africa
Algeria,2018,Lung,138.8,18.3,43.6,28.033886,1.659626,Africa
Algeria,2018,Breast,94.2,12.3,62.3,28.033886,1.659626,Africa
Algeria,2018,Colorectal,88.2,29.5,55.7,28.033886,1.659626,Africa
Algeria,2019,Lung,109.7,75.9,43.0,28.033886,1.659626,Africa
Algeria,2019,Breast,144.8,11.3,63.1,28.033886,1.659626,Africa
Algeria,2019,Colorectal,102.3,38.0,5.1,28.033886,1.659626,Africa
Algeria,2020,Lung,140.6,58.2,51.8,28.033886,1.659626,Africa
Algeria,2020,Breast,72.3,75.5,87.9,28.033886,1.659626,Africa
Algeria,2020,Colorectal,94.0,51.8,96.3,28.033886,1.659626,Africa
Algeria,2021,Lung,93.2,79.3,71.0,28.033886,1.659626,Africa
Algeria,2021,Breast,143.3,52.0,88.2,28.033886,1.659626,Africa
Algeria,2021,Colorectal,111.1,59.0,13.6,28.033886,1.659626,Africa
Algeria,2022,Lung,126.0,15.5,62.6,28.033886,1.659626,Africa
Algeria,2022,Breast,40.2,48.3,59.0,28.033886,1.659626,Africa
Algeria,2022,Colorectal,62.8,28.5,13.0,28.033886,1.659626,Africa
Algeria,2023,Lung,93.2,70.2,99.0,28.033886,1.659626,Africa
Algeria,2023,Breast,146.3,76.0,3.6,28.033886,1.659626,Africa
Algeria,2023,Colorectal,52.0,10.2,71.5,28.033886,1.659626,Africa
Algeria,2024,Lung,89.3,48.7,94.0,28.033886,1.659626,Africa
Algeria,2024,Breast,73.0,16.2,62.5,28.033886,1.659626,Africa
Algeria,2024,Colorectal,97.0,48.6,5.5,28.033886,1.659626,Africa
Andorra,2010,Lung,48.8,35.8,42.9,42.546245,1.601554,Europe
Andorra,2010,Breast,126.8,71.7,97.4,42.546245,1.601554,Europe
Andorra,2010,Colorectal,83.8,61.0,41.5,42.546245,1.601554,Europe
Andorra,2011,Lung,146.9,62.7,5.4,42.546245,1.601554,Europe
Andorra,2011,Breast,36.4,79.3,35.8,42.546245,1.601554,Europe
Andorra,2011,Colorectal,113.5,30.5,24.7,42.546245,1.601554,Europe
Andorra,2012,Lung,80.8,56.3,53.0,42.546245,1.601554,Europe
Andorra,2012,Breast,117.6,21.0,15.3,42.546245,1.601554,Europe
Andorra,2012,Colorectal,86.7,63.3,69.0,42.546245,1.601554,Europe
Andorra,2013,Lung,96.9,72.9,41.7,42.546245,1.601554,Europe
Andorra,2013,Breast,83.9,13.1,56.3,42.546245,1.601554,Europe
Andorra,2013,Colorectal,149.6,60.9,38.4,42.546245,1.601554,Europe
Andorra,2014,Lung,52.6,49.4,10.0,42.546245,1.601554,Europe
Andorra,2014,Breast,133.9,62.5,71.6,42.546245,1.601554,Europe
Andorra,2014,Colorectal,33.7,36.7,37.4,42.546245,1.601554,Europe
Andorra,2015,Lung,117.4,44.4,64.6,42.546245,1.601554,Europe
Andorra,2015,Breast,58.3,18.8,68.6,42.546245,1.601554,Europe
Andorra,2015,Colorectal,142.2,59.3,54.4,42.546245,1.601554,Europe
Andorra,2016,Lung,138.1,34.4,49.3,42.546245,1.601554,Europe
Andorra,2016,Breast,94.3,19.5,92.4,42.546245,1.601554,Europe
Andorra,2016,Colorectal,116.2,45.4,98.6,42.546245,1.601554,Europe
Andorra,2017,Lung,91.4,35.4,84.3,42.546245,1.601554,Europe
Andorra,2017,Breast,95.8,38.8,65.4,42.546245,1.601554,Europe
Andorra,2017,Colorectal,46.3,46.3,49.8,42.546245,1.601554,Europe
Andorra,2018,Lung,45.7,16.9,14.4,42.546245,1.601554,Europe
Andorra,2018,Breast,128.2,12.9,78.9,42.546245,1.601554,Europe
Andorra,2018,Colorectal,91.8,15.9,87.1,42.546245,1.601554,Europe
Andorra,2019,Lung,33.1,32.2,23.2,42.546245,1.601554,Europe
Andorra,2019,Breast,71.2,63.4,95.4,42.546245,1.601554,Europe
Andorra,2019,Colorectal,75.3,14.2,72.7,42.546245,1.601554,Europe
Andorra,2020,Lung,81.8,43.6,86.7,42.546245,1.601554,Europe
Andorra,2020,Breast,49.1,42.5,23.7,42.546245,1.601554,Europe
Andorra,2020,Colorectal,65.7,67.7,20.1,42.546245,1.601554,Europe
Andorra,2021,Lung,113.2,47.4,16.0,42.546245,1.601554,Europe
Andorra,2021,Breast,131.5,29.2,65.3,42.546245,1.601554,Europe
Andorra,2021,Colorectal,63.5,38.1,8.6,42.546245,1.601554,Europe
Andorra,2022,Lung,90.0,69.7,66.1,42.546245,1.601554,Europe
Andorra,2022,Breast,147.7,37.2,48.6,42.546245,1.601554,Europe
Andorra,2022,Colorectal,141.2,44.4,76.2,42.546245,1.601554,Europe
Andorra,2023,Lung,129.8,60.4,67.7,42.546245,1.601554,Europe
Andorra,2023,Breast,90.4,75.3,3.8,42.546245,1.601554,Europe
Andorra,2023,Colorectal,78.7,59.3,31.7,42.546245,1.601554,Europe
Andorra,2024,Lung,79.4,13.0,0.3,42.546245,1.601554,Europe
Andorra,2024,Breast,116.2,13.7,41.0,42.546245,1.601554,Europe
Andorra,2024,Colorectal,47.2,71.2,4.5,42.546245,1.601554,Europe
Angola,2010,Lung,31.8,65.4,40.9,-11.202692,17.873887,Africa
Angola,2010,Breast,43.2,68.5,84.4,-11.202692,17.873887,Africa
Angola,2010,Colorectal,66.9,43.9,13.4,-11.202692,17.873887,Africa
Angola,2011,Lung,37.0,32.8,20.6,-11.202692,17.873887,Africa
Angola,2011,Breast,121.4,18.8,62.4,-11.202692,17.873887,Africa
Angola,2011,Colorectal,60.3,48.8,46.4,-11.202692,17.873887,Africa
Angola,2012,Lung,113.0,47.8,86.8,-11.202692,17.873887,Africa
Angola,2012,Breast,107.4,12.4,3.0,-11.202692,17.873887,Africa
Angola,2012,Colorectal,74.3,67.7,69.3,-11.202692,17.873887,Africa
Angola,2013,Lung,129.3,43.4,49.2,-11.202692,17.873887,Africa
Angola,2013,Breast,33.5,54.7,17.5,-11.202692,17.873887,Africa
Angola,2013,Colorectal,103.8,73.9,88.0,-11.202692,17.873887,Africa
Angola,2014,Lung,35.1,34.8,48.9,-11.202692,17.873887,Africa
Angola,2014,Breast,39.0,37.3,50.9,-11.202692,17.873887,Africa
Angola,2014,Colorectal,131.7,13.7,85.5,-11.202692,17.873887,Africa
Angola,2015,Lung,96.5,19.5,85.3,-11.202692,17.873887,Africa
Angola,2015,Breast,64.7,66.7,60.4,-11.202692,17.873887,Africa
Angola,2015,Colorectal,54.3,70.2,97.2,-11.202692,17.873887,Africa
Angola,2016,Lung,128.0,24.5,77.0,-11.202692,17.873887,Africa
Angola,2016,Breast,97.1,64.4,10.8,-11.202692,17.873887,Africa
Angola,2016,Colorectal,43.5,34.6,91.8,-11.202692,17.873887,Africa
Angola,2017,Lung,40.9,46.5,77.7,-11.202692,17.873887,Africa
Angola,2017,Breast,31.7,59.7,13.9,-11.202692,17.873887,Africa
Angola,2017,Colorectal,91.9,56.3,25.9,-11.202692,17.873887,Africa
Angola,2018,Lung,109.5,67.7,85.1,-11.202692,17.873887,Africa
Angola,2018,Breast,37.6,15.8,44.2,-11.202692,17.873887,Africa
Angola,2018,Colorectal,132.5,22.6,31.8,-11.202692,17.873887,Africa
Angola,2019,Lung,137.6,72.0,84.5,-11.202692,17.873887,Africa
Angola,2019,Breast,96.6,19.6,37.6,-11.202692,17.873887,Africa
Angola,2019,Colorectal,47.9,13.9,58.5,-11.202692,17.873887,Africa
Angola,2020,Lung,139.0,56.7,44.9,-11.202692,17.873887,Africa
Angola,2020,Breast,98.3,67.5,59.0,-11.202692,17.873887,Africa
Angola,2020,Colorectal,80.2,79.4,36.2,-11.202692,17.873887,Africa
Angola,2021,Lung,114.1,79.2,68.5,-11.202692,17.873887,Africa
Angola,2021,Breast,86.3,17.8,51.4,-11.202692,17.873887,Africa
Angola,2021,Colorectal,49.3,33.0,20.2,-11.202692,17.873887,Africa
Angola,2022,Lung,46.4,29.7,47.6,-11.202692,17.873887,Africa
Angola,2022,Breast,127.6,55.2,80.0,-11.202692,17.873887,Africa
Angola,2022,Colorectal,133.5,39.9,37.7,-11.202692,17.873887,Africa
Angola,2023,Lung,108.5,63.9,38.4,-11.202692,17.873887,Africa
Angola,2023,Breast,54.9,29.2,19.9,-11.202692,17.873887,Africa
Angola,2023,Colorectal,133.8,30.5,60.4,-11.202692,17.873887,Africa
Angola,2024,Lung,61.7,65.8,66.3,-11.202692,17.873887,Africa
Angola,2024,Breast,113.9,73.1,39.1,-11.202692,17.873887,Africa
Angola,2024,Colorectal,136.7,12.6,47.6,-11.202692,17.873887,Africa
Argentina,2010,Lung,97.8,29.0,47.2,-38.416097,-63.616672,South America
Argentina,2010,Breast,145.6,41.3,99.6,-38.416097,-63.616672,South America
Argentina,2010,Colorectal,132.6,26.8,52.4,-38.416097,-63.616672,South America
Argentina,2011,Lung,144.7,30.5,98.9,-38.416097,-63.616672,South America
Argentina,2011,Breast,51.1,44.1,42.7,-38.416097,-63.616672,South America
Argentina,2011,Colorectal,134.4,38.4,85.6,-38.416097,-63.616672,South America
Argentina,2012,Lung,113.4,69.1,8.1,-38.416097,-63.616672,South America
Argentina,2012,Breast,46.9,32.3,82.1,-38.416097,-63.616672,South America
Argentina,2012,Colorectal,115.3,57.5,35.9,-38.416097,-63.616672,South America
Argentina,2013,Lung,65.4,30.9,78.3,-38.416097,-63.616672,South America
Argentina,2013,Breast,128.3,13.8,6.6,-38.416097,-63.616672,South America
Argentina,2013,Colorectal,44.4,38.5,41.3,-38.416097,-63.616672,South America
Argentina,2014,Lung,40.1,67.3,97.4,-38.416097,-63.616672,South America
Argentina,2014,Breast,47.1,34.6,16.4,-38.416097,-63.616672,South America
Argentina,2014,Colorectal,69.3,31.3,86.4,-38.416097,-63.616672,South America
Argentina,2015,Lung,69.0,13.6,51.2,-38.416097,-63.616672,South America
Argentina,2015,Breast,53.2,34.1,49.7,-38.416097,-63.616672,South America
Argentina,2015,Colorectal,111.5,18.5,52.5,-38.416097,-63.616672,South America
Argentina,2016,Lung,127.4,46.9,18.7,-38.416097,-63.616672,South America
Argentina,2016,Breast,51.3,69.8,71.4,-38.416097,-63.616672,South America
Argentina,2016,Colorectal,48.8,33.0,51.9,-38.416097,-63.616672,South America
Argentina,2017,Lung,131.7,36.9,87.6,-38.416097,-63.616672,South America
Argentina,2017,Breast,97.4,78.7,46.0,-38.416097,-63.616672,South America
Argentina,2017,Colorectal,113.3,36.4,87.1,-38.416097,-63.616672,South America
Argentina,2018,Lung,56.6,24.7,51.3,-38.416097,-63.616672,South America
Argentina,2018,Breast,63.7,72.2,71.7,-38.416097,-63.616672,South America
Argentina,2018,Colorectal,36.2,78.3,85.3,-38.416097,-63.616672,South America
Argentina,2019,Lung,39.8,13.9,76.0,-38.416097,-63.616672,South America
Argentina,2019,Breast,89.1,13.5,35.3,-38.416097,-63.616672,South America
Argentina,2019,Colorectal,75.8,34.4,64.0,-38.416097,-63.616672,South America
Argentina,2020,Lung,93.9,65.4,37.7,-38.416097,-63.616672,South America
Argentina,2020,Breast,32.4,36.4,7.0,-38.416097,-63.616672,South America
Argentina,2020,Colorectal,120.0,69.7,60.1,-38.416097,-63.616672,South America
Argentina,2021,Lung,90.2,75.3,83.3,-38.416097,-63.616672,South America
Argentina,2021,Breast,149.6,75.4,7.3,-38.416097,-63.616672,South America
Argentina,2021,Colorectal,132.8,14.3,24.0,-38.416097,-63.616672,South America
Argentina,2022,Lung,105.9,32.2,55.7,-38.416097,-63.616672,South America
Argentina,2022,Breast,148.3,17.4,37.5,-38.416097,-63.616672,South America
Argentina,2022,Colorectal,115.8,12.2,34.2,-38.416097,-63.616672,South America
Argentina,2023,Lung,144.5,15.9,71.7,-38.416097,-63.616672,South America
Argentina,2023,Breast,119.8,38.8,36.6,-38.416097,-63.616672,South America
Argentina,2023,Colorectal,100.7,53.5,77.4,-38.416097,-63.616672,South America
Argentina,2024,Lung,54.9,61.6,64.6,-38.416097,-63.616672,South America
Argentina,2024,Breast,55.7,42.5,33.8,-38.416097,-63.616672,South America
Argentina,2024,Colorectal,51.6,40.8,6.6,-38.416097,-63.616672,South America
Armenia,2010,Lung,32.3,15.4,7.3,40.069099,45.038189,Asia
Armenia,2010,Breast,36.3,33.8,92.4,40.069099,45.038189,Asia
Armenia,2010,Colorectal,39.5,49.1,22.8,40.069099,45.038189,Asia
Armenia,2011,Lung,83.1,48.1,11.9,40.069099,45.038189,Asia
Armenia,2011,Breast,137.7,47.4,61.2,40.069099,45.038189,Asia
Armenia,2011,Colorectal,37.9,50.2,91.8,40.069099,45.038189,Asia
Armenia,2012,Lung,31.4,27.5,91.1,40.069099,45.038189,Asia
Armenia,2012,Breast,144.6,23.4,14.9,40.069099,45.038189,Asia
Armenia,2012,Colorectal,58.5,10.3,26.4,40.069099,45.038189,Asia
Armenia,2013,Lung,100.9,24.0,26.9,40.069099,45.038189,Asia
Armenia,2013,Breast,77.2,77.3,68.7,40.069099,45.038189,Asia
Armenia,2013,Colorectal,78.0,39.5,64.9,40.069099,45.038189,Asia
Armenia,2014,Lung,47.0,49.2,81.8,40.069099,45.038189,Asia
Armenia,2014,Breast,131.9,43.3,85.8,40.069099,45.038189,Asia
Armenia,2014,Colorectal,74.1,71.5,45.7,40.069099,45.038189,Asia
Armenia,2015,Lung,104.5,70.7,78.0,40.069099,45.038189,Asia
Armenia,2015,Breast,91.1,31.9,48.7,40.069099,45.038189,Asia
Armenia,2015,Colorectal,134.6,76.8,72.9,40.069099,45.038189,Asia
Armenia,2016,Lung,132.9,14.6,66.8,40.069099,45.038189,Asia
Armenia,2016,Breast,34.2,75.9,8.3,40.069099,45.038189,Asia
Armenia,2016,Colorectal,145.4,53.4,71.6,40.069099,45.038189,Asia
Armenia,2017,Lung,84.7,75.3,18.3,40.069099,45.038189,Asia
Armenia,2017,Breast,122.1,43.3,18.2,40.069099,45.038189,Asia
Armenia,2017,Colorectal,41.1,11.0,80.6,40.069099,45.038189,Asia
Armenia,2018,Lung,147.7,64.5,72.5,40.069099,45.038189,Asia
Armenia,2018,Breast,115.2,49.2,44.4,40.069099,45.038189,Asia
Armenia,2018,Colorectal,64.2,12.6,30.4,40.069099,45.038189,Asia
Armenia,2019,Lung,52.8,79.7,97.0,40.069099,45.038189,Asia
Armenia,2019,Breast,130.1,74.2,93.0,40.069099,45.038189,Asia
Armenia,2019,Colorectal,66.0,52.7,75.1,40.069099,45.038189,Asia
Armenia,2020,Lung,148.8,62.2,97.0,40.069099,45.038189,Asia
Armenia,2020,Breast,149.5,29.6,21.4,40.069099,45.038189,Asia
Armenia,2020,Colorectal,96.9,10.4,50.5,40.069099,45.038189,Asia
Armenia,2021,Lung,140.1,56.4,32.6,40.069099,45.038189,Asia
Armenia,2021,Breast,40.2,80.0,63.7,40.069099,45.038189,Asia
Armenia,2021,Colorectal,39.0,41.9,10.4,40.069099,45.038189,Asia
Armenia,2022,Lung,37.8,35.9,62.9,40.069099,45.038189,Asia
Armenia,2022,Breast,65.0,53.1,76.0,40.069099,45.038189,Asia
Armenia,2022,Colorectal,85.2,79.3,36.8,40.069099,45.038189,Asia
Armenia,2023,Lung,83.1,29.2,27.4,40.069099,45.038189,Asia
Armenia,2023,Breast,138.3,78.9,42.1,40.069099,45.038189,Asia
Armenia,2023,Colorectal,34.5,74.3,56.7,40.069099,45.038189,Asia
Armenia,2024,Lung,108.3,24.5,6.1,40.069099,45.038189,Asia
Armenia,2024,Breast,59.6,16.3,69.5,40.069099,45.038189,Asia
Armenia,2024,Colorectal,124.3,26.0,95.4,40.069099,45.038189,Asia
Australia,2010,Lung,129.7,39.8,26.9,-25.274398,133.775136,Oceania
Australia,2010,Breast,143.1,37.2,6.6,-25.274398,133.775136,Oceania
Australia,2010,Colorectal,62.9,15.1,91.3,-25.274398,133.775136,Oceania
Australia,2011,Lung,58.5,44.6,5.8,-25.274398,133.775136,Oceania
Australia,2011,Breast,113.0,18.6,63.4,-25.274398,133.775136,Oceania
Australia,2011,Colorectal,135.4,40.7,24.4,-25.274398,133.775136,Oceania
Australia,2012,Lung,142.7,53.9,84.8,-25.274398,133.775136,Oceania
Australia,2012,Breast,53.0,74.8,44.0,-25.274398,133.775136,Oceania
Australia,2012,Colorectal,85.4,51.1,34.7,-25.274398,133.775136,Oceania
Australia,2013,Lung,50.0,40.9,14.0,-25.274398,133.775136,Oceania
Australia,2013,Breast,86.1,33.6,64.4,-25.274398,133.775136,Oceania
Australia,2013,Colorectal,99.0,76.9,5.7,-25.274398,133.775136,Oceania
Australia,2014,Lung,59.9,29.0,76.1,-25.274398,133.775136,Oceania
Australia,2014,Breast,92.6,36.2,39.6,-25.274398,133.775136,Oceania
Australia,2014,Colorectal,36.2,34.6,31.4,-25.274398,133.775136,Oceania
Australia,2015,Lung,83.0,43.7,8.3,-25.274398,133.775136,Oceania
Australia,2015,Breast,139.0,74.7,76.6,-25.274398,133.775136,Oceania
Australia,2015,Colorectal,84.6,55.0,43.9,-25.274398,133.775136,Oceania
Australia,2016,Lung,121.0,46.5,23.6,-25.274398,133.775136,Oceania
Australia,2016,Breast,99.3,24.6,9.2,-25.274398,133.775136,Oceania
Australia,2016,Colorectal,58.5,50.7,62.0,-25.274398,133.775136,Oceania
Australia,2017,Lung,124.5,52.9,74.7,-25.274398,133.775136,Oceania
Australia,2017,Breast,86.1,42.4,41.2,-25.274398,133.775136,Oceania
Australia,2017,Colorectal,128.4,25.6,75.9,-25.274398,133.775136,Oceania
Australia,2018,Lung,42.0,52.8,58.8,-25.274398,133.775136,Oceania
Australia,2018,Breast,46.5,19.1,28.7,-25.274398,133.775136,Oceania
Australia,2018,Colorectal,139.5,78.0,41.8,-25.274398,133.775136,Oceania
Australia,2019,Lung,79.0,74.4,68.9,-25.274398,133.775136,Oceania
Australia,2019,Breast,81.1,26.8,75.4,-25.274398,133.775136,Oceania
Australia,2019,Colorectal,74.6,77.4,69.5,-25.274398,133.775136,Oceania
Australia,2020,Lung,148.9,67.2,99.2,-25.274398,133.775136,Oceania
Australia,2020,Breast,89.3,75.1,52.7,-25.274398,133.775136,Oceania
Australia,2020,Colorectal,61.7,31.6,47.4,-25.274398,133.775136,Oceania
Australia,2021,Lung,58.6,10.9,2.0,-25.274398,133.775136,Oceania
Australia,2021,Breast,92.1,23.9,35.3,-25.274398,133.775136,Oceania
Australia,2021,Colorectal,95.9,63.5,5.3,-25.274398,133.775136,Oceania
Australia,2022,Lung,78.3,48.2,43.9,-25.274398,133.775136,Oceania
Australia,2022,Breast,87.3,42.1,3.8,-25.274398,133.775136,Oceania
Australia,2022,Colorectal,132.7,44.6,6.2,-25.274398,133.775136,Oceania
Australia,2023,Lung,91.9,61.7,51.2,-25.274398,133.775136,Oceania
